gene	EPI_E5	PE_E5	EPI_E6	PE_E6	EPI_E7	PE_E7
CLPSL2	1.1	1.7	1.5	2.8	0.4	0
LOC145783	0.6	0.8	0.6	0.3	1.1	0.9
CCDC9	11.1	6.8	16.3	9.9	10.4	7.9
KRT8	957.6	1341.1	943.9	1287.6	1322.5	1338.3
CENPU	33.9	41.4	37	32.4	51.9	40.3
TAC3	0	0	0	0.2	0.8	0.7
PPP1R3B	20.1	20.6	7.4	9.6	8.5	11.4
RDH5	0.3	0.6	0	0.3	0.2	0.1
MDN1	9.6	8.2	8.8	8.2	7.9	6
ZNF134	14.8	16.3	11.9	14.2	9.7	13.3
LINC00540	2.2	2.1	1.8	3.3	3.1	5.4
PARM1	2.8	3.5	1.6	0.3	0.5	0.4
HINT1	233.7	238.1	476.6	563.6	778.7	612.2
LOC100132215	0.3	0.3	0.7	0.9	0.5	1.5
KLHL22	3.8	1.4	1.6	1.2	2.8	2.5
RFXANK	30	36.1	38.4	36.7	39.2	29.1
TBC1D4	0.1	0.1	0.3	0.4	0.6	0.3
TIMD4	3.6	2.6	2.4	5.4	1.3	2.4
MON2	1.3	1.3	1.4	3	2.6	2.3
HIF1AN	14.3	11.2	8.5	9.6	7.6	6.5
AKAP3	1.1	1	0.4	0.1	0.6	0.3
ZNF717	5.4	1.8	2.4	3.4	2.7	3.5
AMPD2	4.8	3.6	4.9	5.3	7.1	9.3
ARL6	1.7	2.2	2.5	2.4	3.2	1.9
COL23A1	0.6	1.3	2.2	2	0.3	2.1
EIF3J	47.2	35.2	48	43	68.5	74.8
USP34	7.4	5.4	4.8	5.8	5.4	6.5
WBP1L	15.2	12.6	11.9	15.3	11	12.8
TAF3	15	11.7	11.7	12.7	12.7	17.1
CCDC103	1.5	2.9	2.2	1.4	2.2	1
SCAMP3	60.8	74.6	77.7	100.9	95.2	89.2
OR52E4	0.3	0	0.2	0.8	0.9	0.2
TIMM13	393.8	369.2	418.1	327.6	333.7	301.2
SIK3	3	2.4	3	2.9	1.8	3.8
FBXO21	13.4	16.9	19.1	23.3	20	15.6
LOC101927934	0.2	0.2	0.1	0.2	0	0
SRP72	36.9	37.1	38.3	45.2	38.8	48.8
NET1	7.2	8	11.9	23	44.2	51
HM13-AS1	0.7	0.6	0.5	0.3	0.2	1
C11orf91	0	0	0	0.1	0.1	0.4
ZNF781	0.4	0.1	0.4	1	0.8	0.5
CHD1	11.5	9.6	11.1	13.6	14	14
GGACT	1.4	0.9	0.2	0.1	0.2	0.2
LOC101927599	3.3	4.1	2.7	4.3	3.4	5.6
KRIT1	7.9	6.6	7.2	8.7	9.3	7.6
REEP5	138.1	94.4	87	92.6	75.6	70.6
MIR4691	0.9	7.1	7.6	9.6	3.6	1.4
HES1	2.6	3.1	3.2	5.5	4.3	6.3
SLC8A2	0.1	0.1	0.2	0	0	0.2
GRASP	1.4	0.6	0.3	0.6	0.1	0.4
FAM78B	2.8	1.4	1.4	0.1	0.8	0.5
LOC730183	1.6	2.9	1.6	1.3	1.5	2.9
MAGEB6	0.3	0.1	0.3	0.1	0.2	0
ZNF623	3.4	2.5	3.2	1.9	1.8	3.2
SLC44A4	0	0	0	0.1	0.1	0.2
CD58	2.1	1.4	2.6	3.8	4.8	2.8
SLC30A2	3.3	5.2	1.7	1.5	0.5	1.7
FBXO6	11.5	7.7	6	5.8	3	4.4
ZFAS1	425.8	400	542	475.7	593.6	647.9
ARHGEF10L	0	0.1	0.3	0	0.4	0.4
GABRA5	0.7	0.5	0.6	0.4	1	0.5
TMEM80	3.1	3	4.5	7.3	6.1	7.5
TCAIM	4.3	5.5	4.1	6.7	10.8	10.5
SCHLAP1	0.5	0.1	0.1	0.2	0.8	0.1
POLR1C	109	102.1	110.3	139.8	103.6	89.4
BRCA2	3.6	3.1	2.7	3.7	2.5	2.9
PYROXD1	1.3	2	1.4	2.2	3.6	3.2
PIK3CB	5.6	5.3	5.9	8.1	9.4	11.1
SLU7	20	25.1	21	25	25.8	21.7
PPP2R1B	11.8	12.6	11.7	25.1	20.5	18.6
GRAMD4	0.9	0.6	0.8	0.2	0.3	0.4
EIF1AY	31	32.2	6.9	26.7	37.1	34.1
RAB39B	0.2	0.1	0.7	1.2	1.8	0.6
NDUFAB1	2396.1	2260.4	1856.2	1382.3	1298	1469.2
DNAJC11	53.8	58.7	41.3	53.4	44.1	36.6
TMED1	48.6	54.3	42.9	38.9	43.5	33
MMP14	0.1	0.2	0.2	0.9	1.7	2.2
MYLPF	14.7	12	17.6	17.9	20.4	9.1
HECTD1	11.5	11.5	9.8	11.8	10	11.9
GPATCH1	10.1	10.1	6.3	8	3.9	5.3
CTD-2201I18.1	0.1	0	0.1	0.1	0	0.2
KCP	0.3	0.1	0.3	0.1	0.3	0.1
ZNF197	0.5	0.4	0.2	0.8	0.3	0.4
DAB1	0.4	0.3	0.4	0.2	0.4	0.4
MAT1A	0	0	0	0.1	0	0
SCD5	0.2	0.8	0.2	0	0.3	0.2
AP5M1	25	29.9	21.9	24.5	14.9	20.9
SCRN2	3	4	3.9	4.8	8.6	9.3
PNKP	10.1	11.9	19.3	5.9	9.1	9.9
GNB5	3.9	4.9	4.8	3.9	6.6	8.3
C4orf19	3.9	2.8	5.2	6.3	10.3	9.2
PPAPDC3	0.4	0.6	0.3	0.6	0.2	0
NINJ1	3.7	3.1	4.3	4.9	9.3	6.4
LINC01176	0.3	0.4	0.6	2.4	1.6	0.5
PHLPP2	1.3	1.2	1.9	2.4	1.5	1.7
PIGW	14.8	17.3	12.6	22.3	15.9	17.5
NUP88	35.5	41.6	38.7	52.8	50.2	45.4
ANXA2P3	14.3	15.4	15.4	19.6	14.3	18.3
SUPT20H	12.6	13.1	12.9	17.5	12.7	15.9
LOC101927273	0.2	0.3	0.2	0.2	0.1	0.3
TOR1B	9.7	11.6	27.3	34.1	33	27.3
TRPV4	0.2	0.7	0.2	0.1	0.1	0
GABARAP	135.7	130.4	172.6	164.8	234.7	189.1
CNEP1R1	14.3	16.6	16.2	18.9	11.6	8
BAIAP2L1	19.1	16.2	21.6	24.7	24.1	30.7
WDR59	9.5	5.1	9.7	8.2	6.6	5.9
JHDM1D-AS1	2.1	1.2	0.6	0.5	0.3	0.6
MEGF8	1.6	1.1	1	0.8	0.5	0.5
TAOK3	20.7	20.7	17.2	16.5	10.4	13.9
ZNF330	29.9	36.2	29.7	33.7	23	29.9
SARS2	36	30.7	21.5	24.1	25.4	20.6
PDXDC1	15.7	17.1	21.8	25.4	22.4	24.5
OSCP1	0.2	0.3	0.7	0.3	1.5	0.7
RAB2B	4.8	5.7	4.4	6.2	5.1	6.4
ZNF555	0.6	0.3	0.6	0.5	0.4	0.1
GLS	3.3	2.5	8.8	8	13.3	12
PMS2P4	3.6	2.4	2.1	0.7	0.6	0.8
SNORA31	17.2	6.9	9	11.2	6.9	21.4
ZNF678	1	1	1.1	0.8	1.1	1
MST1	1.1	0.9	1.5	1.3	2.2	1.3
HSPBP1	55.7	48	54.6	36.6	66.9	78.7
NDUFAF1	33.2	36	23.5	34.6	30.7	27.7
TSC2	7.5	4.7	5.7	5	5.7	4.5
CALML3	0.1	0	0.2	0.2	0.3	0.7
CCBE1	0	0.1	0.2	0.3	1.5	1.4
ZNF169	0.7	0.4	0.8	1	0.3	0.7
WDR47	16.1	11.4	8.8	9.8	9.8	8.7
EGFL7	26.1	18.3	29.3	23.3	27.2	29.3
C19orf52	10.3	7.4	8	4.4	9.7	11.3
FAM188A	6.2	7.8	5.2	10.4	8.3	9.4
SERGEF	8.7	12.2	15.8	16.4	11.6	18.7
FUT1	1.8	3.5	3.2	3.7	0.6	0.7
ZW10	12.9	12.6	12.9	17.1	16.9	13.4
TEKT4P2	14.2	8.5	7.2	17.6	8.3	9.3
OR2B6	0.2	0.1	0	0.3	0.6	1.2
MTUS2	0.6	0.4	0.5	2.4	0.4	0.3
ASH1L	4.8	4.2	4.7	6.5	5.8	4.7
MAGEA12	0	0	1	0.5	0.1	0.3
DDX4	0.6	0.6	0.2	0.1	0.1	0.3
UTP18	55.4	55.3	50.8	67.8	71.4	63.7
SAMD4A	0	0	0	0.4	0.2	0.1
NDC1	31	31.9	32.3	41.7	28.6	22.7
SULT1A2	0.4	0.6	0.8	0.5	0.6	0.1
UBIAD1	23.1	18.9	22.6	24.5	28.5	21.7
PPCS	36.2	41.1	42.5	43.2	31.8	30
USP21	3.3	4.9	4.3	2.9	2.5	3.6
IQCH-AS1	13.3	11.4	11.5	13.6	12.8	5.5
MFAP3L	6.8	5.3	5.5	3.6	3.5	2.1
RASGRF2	0.7	0.5	1.2	0.4	1.4	0.9
ALDH3B2	0	0	0	0.4	1.1	0.9
KIAA2018	8.7	6.9	7.1	6.7	7.2	6.8
LRRC75A-AS1	1376.5	1492.3	1595.8	1230.6	1157.2	1219.7
TP73	0.1	0	0.6	0	1.7	1
GDAP2	5.5	5.2	3.2	7.7	7	9
LMBR1L	49.9	54.9	46.1	34	29.6	22.2
SMARCB1	80.7	72.5	78.6	69.9	66.4	59.1
FAM222A-AS1	0.6	0.8	0.2	0.1	0.5	0.2
PDCD2L	47.5	44.2	54.1	38.9	52.6	47.3
NOM1	4.7	3.6	3.1	2.9	3.8	4.9
ADAMTS20	0	0.2	0	0.2	1.7	2.6
NRADDP	0.1	0.4	0.2	0.2	0.5	0.4
TYRO3P	0.2	0.4	0.5	0.4	0.3	0.6
FAM171A1	3.8	1.9	2.8	1.2	1.6	1.6
EMX1	0	0.1	0	0	0	0
TMEM170A	69.6	63.1	67	59.9	72.7	57.8
LRP5L	1.8	2	1.4	2.4	3.4	1.6
NHEJ1	14.7	16.5	9.3	14.8	12	10.4
OVCA2	30.5	28.6	29.7	13.2	26.8	34.6
TPD52L1	7.5	8.6	7.7	19.7	22.8	24.9
DNAJC12	0.1	0.4	0.8	0	0.1	0.2
PJA2	6.6	11	7.3	8.4	8.2	7.9
PSMA7	697.1	645	771	786.4	796.6	966
CHORDC1	21.7	28.9	31.3	56.5	44.8	47.2
USP5	28.3	23.1	19.3	22.8	25.6	29.7
API5	17.2	23.3	20.2	37.8	27.8	28.8
RNASEH2A	108.1	111.3	107.3	84.7	87.8	73.1
MORN1	0.9	0.9	0.3	0.4	0.8	0.4
MATK	0.8	0.6	1.1	0.1	0.2	0.2
MORN3	0.2	0.2	0.9	1.1	1.2	1.7
UBTF	23.2	17.7	18.6	14	15.1	13.3
MXI1	6.7	4.3	2.3	2.1	2.3	2.9
MFSD1	12.5	17.4	19.9	37.9	31.7	29.5
SGK3.uid_10446	1.1	0.5	2.1	1.7	3.4	3.3
FANCB	4.7	5.8	6.2	8.5	7.1	9.1
CPED1	0.9	0.7	0.4	0.1	0.2	0.1
TLN1	4.8	4.9	4.2	3.5	5.1	6.4
ASF1A	20	25	16.1	29.5	20.6	20.8
WDR83	29.8	43.7	40.2	37.7	29.6	26.5
FAM127C	5.6	3.2	5.8	1.5	1.4	1.9
SARNP	118.3	119.8	112.1	141.6	121	136.8
ZNF878	2.2	2.2	2	1.9	6.4	3.5
MAP2K5	4.5	3.1	3.7	5.3	6.9	4.4
CHRD	0.3	0.9	0.2	0.3	0.3	0.8
SPEN	9.1	5.5	9	9.2	6.2	6.4
PIK3CA	2.1	2.2	1.6	1	1.4	2.1
TTC23L	0	0	0.1	0.3	0.1	0.8
MIER2	4.8	4.6	8.4	3.2	7.1	6.6
THAP6	2.4	1.8	1.8	4.1	3	2.3
IFI35	0.4	1.6	0	2.1	0.6	0.3
NCALD	0.4	0.1	0.6	0.4	0.5	1.1
FBXO22	27.9	31.8	22.9	27.7	40.8	33.2
TGFBR3	9.3	9.3	14.4	21.9	8.9	10.2
GTPBP2	6.6	4.4	7.1	5.2	4	5.3
SNX21	6.2	5.8	5.9	2	4	4.5
ZBTB3	3.7	2.5	2.8	2.3	5.3	3.9
SPTSSB	0	0	0	0	0.1	0
OSBPL9	12.6	17.2	14.2	25.3	30.6	32.9
KPNA2	300.5	381.7	284.3	409.8	321.6	290.3
PIN1	90.5	75.9	90.3	45.1	83.5	85.8
NUCB1	130.8	116.9	103.4	51.2	57.6	58.1
ZFPM2	0	0	0	0	0	0
LOC101926966	0.1	0.2	0.4	1.1	0.2	0.5
OIP5	102.4	93	87.2	105	128	108.9
CES4A	0.5	1.3	0.2	0.2	0	0.4
NELL2	0.9	0.4	0.1	0.1	0.5	0.1
TP53TG3D	0.1	0.1	0.1	0.3	0.2	0.1
KRBOX1	48.8	46.7	14.3	10.1	9.3	6.7
SPATA6	3.1	3	2.2	0.6	2	1.4
C11orf57	10.6	6.9	9.3	11.1	11	11.5
OTULIN	2.8	2.2	2.7	3.7	2.4	2.9
PGS1	10.3	9.2	15.6	15.8	21.4	19.1
RASAL2	0.9	1.6	1.5	1.4	2.2	3.1
SUSD1	1.8	2.3	3.1	4.1	2	3.1
STYXL1	14.7	18.7	16.2	14.4	13.7	19.2
TMEM57	3.7	3.1	3.2	4	5.1	6.6
LOC100129931	0	0	0.1	0.6	0	0.2
SIN3B	4.7	5.1	5.6	3.5	9	11.6
HSF1	30.3	25.4	45.6	22.3	46.3	52.1
PLD6	0.1	0.4	2.2	1.6	2.1	1.6
GPR137	7.3	6.2	11	3.3	6	7.1
YIPF1	18.4	21	22.9	27.8	24.4	18.8
ZC2HC1C	0.7	1.7	1.9	1.8	5.7	6.1
ADIPOQ-AS1	0.6	0.6	1.4	0	0	0
KLHDC10	1.9	1.1	2	2.2	1.2	1.8
NOLC1	87.5	98	99.3	128	132.2	116.9
DUSP12	48.2	61.2	37.5	32.9	18.6	25.2
C21orf58	4	2.8	1.6	1.8	3.4	2.9
NRD1	72.3	78.7	66.6	63.4	72.5	61.9
ETFB	122.1	104.1	76	60.8	68.8	62.3
PCYOX1L	0.1	0.2	0.2	0.3	0.5	0.8
MACC1	0.2	0.1	0	0	0	0
SFR1	9.8	12.3	4.8	5.8	7.2	4.7
BRK1	170.9	152.6	171.9	134.7	187.6	163.6
ARIH1	8.1	9.2	11.9	9.3	9	11.3
ZNF702P	1.2	1.5	1.5	3.1	4.2	6.7
WDR27	0.7	0.6	0.7	0.4	0.8	0.4
PKN1	2.4	1.2	3.1	1.3	2.8	2.2
FGF14-AS2	1.3	2.4	0.1	0.2	0.9	0.4
PES1	47.4	35.9	43.4	32.6	38.8	42.3
VEGFB	2	0.9	2	2.6	2.1	3.4
GOLGA1	3.6	4.3	3.7	3.9	4.1	2.3
ANGPT1	1.8	2.2	2	5.5	3.8	3.4
WNT7A	0.9	2.3	3.3	2.4	2.2	1.1
SLC39A14	11.6	12.8	19.2	36.8	21.2	19.2
RHBDD2	33.9	37	37.1	24.3	33.6	25.9
PIGV	3.5	3.9	2.9	1.8	2.4	1.4
STX11	0.6	0	0.1	0.2	0.6	0.8
SLC35G3	1.9	1.6	1	0.1	0.6	0.4
AQR	14.6	14.2	17.2	22.7	19.6	17.5
PMPCA	71.9	69.2	69.2	78.7	74.9	65.4
BAD	34.1	31.7	47.2	26.7	46.9	41.9
SURF4	131.4	132.3	136.3	115.7	142.6	161.3
BLVRA	1.9	1.2	0.2	0.3	0.7	1.3
C9orf153	0.2	0.1	0.3	0.1	0.4	0.1
GABARAPL2	128.1	137.1	120.2	86.3	100.4	117.4
NDUFAF7	49.3	64.1	48.6	43.5	39.5	37.4
ESRP2	12	13.8	12.6	12.4	14.7	22.8
FAM126B	8.6	10.1	5.1	6.1	3.8	4.6
FLAD1	122.4	112.3	91	99.5	64.2	51.2
TMEM38B	16.3	19.9	14.8	18	15.9	13.6
UBN2	2.6	2.8	3	2.7	2.9	2.3
TJAP1	11	8.3	7.6	8.4	6.8	9.2
CD164	63.6	76.8	65.1	123.5	93	98.4
RBPMS-AS1	0.8	1.1	0.9	1.3	3.7	1.8
LOC650226	12.5	10.6	16.4	17.3	19	16.2
C2orf47	49.3	67.1	50	59.4	51.6	43.7
USP10	60.3	57.2	57	71.7	72.1	63.1
DUOXA1	0	0	0	0.6	0.7	0.8
HABP4	0.8	1.1	0.5	0.5	0.7	1.1
PUS7	9.8	9.6	12	24.3	16.2	16.2
TNKS2	4.9	4.1	4.7	5.3	6.5	8
OTX1	7.9	4.9	1.6	2.5	0.2	0.5
FAM218A	0.8	0.9	1.2	1	0.9	0.4
ZNF74	1.9	1.9	4.7	3.1	3.8	5.2
UBB	811.6	1162.5	900.4	1226.9	1098.9	1250.7
CD3EAP	18.3	17.9	23.4	24	18.9	13.7
MRPL22	49.7	56.1	52.4	64.2	57.2	47.8
ARMCX1	0.2	0.1	0.4	1.3	1.1	0.4
KIFC3	2.9	4	1.1	0.5	2.4	2.2
RFPL3S	0.5	1.4	1.8	2.2	1.7	3.2
SNAPC2	10.5	9	12.8	5.5	9.1	8
ANKRD13A	8.1	6.5	6.5	7	5.7	6
GHITM	408.2	550.7	418.4	457.1	376.1	347.1
SULT2B1	2.2	1	2.1	3.4	3.3	1.5
ZNF839	1.8	1	1.3	1.4	0.7	0.4
ARID1B	4	3.4	4.5	3.4	3	3.6
FGFR4	23.4	26.8	42.4	47.7	35.4	46.2
MRPL55	317.2	249.7	256.1	284.4	241.5	220.9
SNRPA	107.5	91.3	105.3	91.7	96.8	90.3
CAPZB	100.3	97.4	125.3	83.1	137.5	134.7
UHRF1BP1	4.2	3.6	3.5	4.1	3.4	4.4
IDI2	1	0.5	1.8	2.5	2.2	3.4
TAX1BP3	48.8	66.3	68.9	32.3	30.3	35.1
PRPH2	0.3	0.2	0.1	1.1	0.2	0.2
GPR22	1.1	2	1.4	1.1	1	0.5
ZNF304	4.5	3.8	4.2	4.2	1.8	2.6
C8G	0.1	0.1	0.7	0.3	0.2	0.7
MISP	4.9	3.4	5.4	6	1.8	3.6
TSTD2	5.5	6.4	4.7	6.3	6.9	4.8
WRAP73	21.5	19.6	29.6	26.6	39.3	30.5
CTTNBP2	0.9	1	1.9	2.9	1.5	2
NPM3	86.7	74.3	167.3	160.3	162.7	122.4
TMEM9B-AS1	0.7	0.4	0.7	0.6	1.6	0.5
ZBTB45	5	4.6	9.9	3.6	4.1	3.6
GPLD1	0.5	0.4	0.5	0.6	0.5	0.3
SLC46A1	0.8	1.3	1.4	2	1	1.3
LRP6	3	2.8	4.4	4.8	4.3	4.6
SEPT1	1.9	3.1	1.6	1.1	0.9	1
UBR4	11.2	9.5	8.5	8.9	11.2	11.1
TUBGCP3	7.1	7.6	6.2	5.4	5.1	7.4
ALAS1	54.2	64.2	42.5	80.7	105.8	117.1
C2orf43	5.8	4.5	3	5	4.1	5.1
HKR1	21.9	20.9	10.9	7.2	6.7	8.5
SMC5	9.7	11.7	8.5	9.8	9.5	11.6
CRHBP	3.4	3.6	1.6	1.3	1.4	3.1
TEAD4	159.8	163.1	197.2	124.3	130.2	148.5
TLR8-AS1	1.9	0.7	0.7	0.7	0.3	0.3
PIAS1	30.3	35.9	24.2	31	26.3	22.4
NCRNA00185	0.3	0.2	0.1	0.5	0.6	1.2
PXMP2	8.4	9.1	13.5	5.1	6.9	8.9
NFKBIE	3.8	2.1	2.5	3.1	4.7	3.3
CCT7	384.8	418.3	349.5	378.6	292.6	258.6
PGAM5	16.9	16.8	26.8	25.9	17.4	23.1
ZNF283	1.1	1.2	2	1.7	2.3	1
TRAP1	114.6	99.1	110.3	129.9	106.6	90.9
CREG1	10.4	10.6	8.9	5.2	8.2	10.5
TCF24	0.9	0.7	0.9	1.8	0.4	0.8
RNGTT	8.2	10.4	6.1	11.9	7.8	7.4
LINC00339	9.7	9.4	9.1	8.6	5.1	6.1
GJA10	0.8	1.1	0.4	0.5	1.3	0.1
ZNF221	0.2	0.4	0.2	0.4	1	0.5
MME	0	0	0.2	0.3	1.8	1.2
CRIP2	4.2	1.6	6.4	1.9	11.3	14.4
SERAC1	7.5	9.6	6.2	7.7	5.5	7.4
OSBPL1A	0.9	1	1.5	1.9	1.5	0.3
YTHDC2	3	3.5	4.1	3.3	4	4.5
ZNF586	17.6	17.2	18.1	16.3	15.8	11.2
KCNK13	1.8	1	1.8	0.3	0.5	0.8
ST3GAL4	10.8	10.4	11.6	11.6	19.5	16.8
C1orf146	0.8	0.4	0.3	0.2	1.3	0.8
ITGBL1	0	0.1	0	0	0	0
NCL	616.1	671.2	621.7	758.5	767	677.7
SNX24	32.9	28.2	25	23.1	21.1	19.1
SLC27A2	4	4.5	4	10.7	32.9	25.7
MGMT	12.5	12.3	7	5.8	7.7	3.8
PLEKHA7	7.4	6.2	2.2	2.2	2.2	3.1
B3GNTL1	4.5	2.3	1.4	1.5	2.8	2.4
HERC4	6.1	7.1	7	9.3	9.1	7.5
EIF2AK3	1.2	1.8	2.7	2.2	2.9	3.6
RUNDC1	4.9	4.1	6.1	4.6	3.6	4.3
AGO1	5	5.1	6.1	4.7	5	3.5
EEF2	374.3	331.2	448.8	330	414	468
YBX2	2.6	2.7	2.3	0.6	0.7	0.9
EPHA7	3.6	3.6	1.7	0.5	0.9	0.9
RAB11FIP5	1.2	0.7	2.1	4.1	3.2	3.8
LAMC2	4.5	4.7	2	3	2	3.2
RBM10	37.1	27.3	31.7	32.8	36.7	32.8
ECD	17.6	16.9	17.3	33.2	22.2	25.6
RPS16	1835.1	1784.3	1993.3	1479.9	1893	1964.3
METTL5	152.2	142.3	135.7	160.7	145	127.1
HAL	0	0	0.1	0.1	0.1	0
ICK	4.7	5.3	4	4.8	5.3	4.5
SLC25A1	111.7	113.9	193.8	93.4	136.3	137.3
TRAPPC4	111.4	130.5	109.2	130.1	115.2	102.3
CLPTM1L	37.1	31.6	38.6	44.1	34.9	44.8
RPLP2	2605.3	2376.7	2855.1	2136.4	3084	3314.2
MAPKAPK5-AS1	8.7	10.3	15.6	30.8	18	18.8
PHF14	11.6	7.8	16	12.7	14.8	14.6
ADA	39.4	38.7	24.1	14.3	28.3	23.9
SREK1IP1	4.6	5.7	5.7	7	7.1	8.6
PDDC1	3.2	2.4	4.2	3.9	4.7	3.4
KCNQ4	1.6	0.3	1.5	1.5	0.5	0.6
SBDS	67.8	77.7	61.7	96.3	86.2	104.3
LOC728613	1.2	1.4	0.7	1	0.4	0.9
PLIN2	109.3	97.5	125.7	224.7	403.4	359.2
FLJ42969	0	0	0	0	0.8	0.4
CCNJ	3.8	3.2	5.7	5.1	6.2	4.8
DERA	57.4	63.6	25.3	22.6	20.4	14.5
APTX	57	54.9	48.7	61.2	62.5	56.8
DEPTOR	31.9	35.9	32.1	19.3	21	18.8
PTGFRN	6	5.9	4.8	2.7	3.9	3.2
LOC284454	3.6	2	3.6	5.2	7.4	8.7
HIPK3	4.7	5.8	4.3	5.7	4.2	5
LOC729970	0.5	0.1	0.1	0.2	0.2	0.6
GPM6A	2.5	1.1	0.1	0.1	0.1	0.2
LSG1	23.7	23.5	24	31.1	31.9	28.3
FKBP3	98.1	97.6	99.9	140.2	109.2	99.2
CCNL2	44.9	39.2	31.3	23.2	31.9	31.6
SNX3	104.5	98.7	102	96.9	101.6	125.3
FTH1P3	2.8	2.1	2.6	4.8	1.2	1.9
TMEM165	19.6	23.7	36.3	33.3	39.9	50.9
CWC15	100.7	93.3	92.5	111.5	100.8	90.2
LOC101928909	0.5	0.2	0.4	0.8	0.3	1.2
EMR1	0.1	0.4	0.3	0.7	0	0
ZNF486	18	15.9	11.2	9	9.6	10.4
ZNF816	6.4	7	9.2	12	8.9	6.5
SVIL	2.9	3.1	2.8	3.2	1.9	1.4
THYN1	41.8	49	47.5	53.3	60.9	52.5
PJA1	4.2	3.3	5.3	3.7	5	4
DUSP23	45.6	53.1	31.8	28.6	39.3	26.3
HCG11	0.2	0.1	0.1	0.9	0.5	0.5
DDX19B	10.4	9.8	13.9	15.5	14.5	11
GALNT10	3.8	4.9	7.2	8	2.9	4.2
ZNF410	20.6	29.5	23.9	40.3	34	34.7
RPS19BP1	291.4	259.8	280.1	259.4	310.5	390.2
LCLAT1	7.9	11.5	6.6	7.1	5.1	6.2
MIER1	9.8	10.8	332.2	20.2	14.5	16.2
TOMM20	38.2	40.6	40.1	51.2	42.9	51.3
NDUFB10	577.2	684.6	738.5	680.8	526.3	470.6
TMEM182	0.4	1.2	0.4	0.5	0.5	0.7
TASP1	8.5	10.8	8.9	12.4	7.2	9.4
TMPO-AS1	0.8	0.3	0.7	0.6	0.8	0.8
NUS1	2.3	2	3.7	4.8	5	6
TNPO1	18.8	15.8	22.1	32	28.2	24.6
LOC100288778	0.4	0.3	0.6	0.5	0.1	0.1
SLBP	81.4	82.1	83.6	69.1	84.2	101
C19orf24	110.9	77.5	142.6	122	132.9	134.6
RIC8A	19.1	23.8	19.3	19	16.6	26.4
ORC6	87.5	87.8	79.3	86.8	77.2	96.9
ARHGEF38-IT1	0.4	1.7	0.6	0.3	0	0.2
PGC	0	0	2.5	9.1	32.3	36.3
CAPN3	1	0.6	0.2	0.5	1.5	0.9
GGPS1	10.2	13.9	11	14.9	16.8	15.3
CBR1	12.7	11.3	31.3	65.8	76.4	82.9
CSTF3	53.6	57.3	42.2	69.5	56	54.7
FGF18	2.7	2.5	2.6	3.7	2.5	5.4
PHTF2	5.6	6.9	7.5	7.9	13.9	10.7
RHOXF1	2.2	0.8	0.4	0.2	0.1	0.5
TUBD1	9.8	14.2	10.5	20.8	15	13.7
RAD21	45.6	36	39.4	40.7	39.3	44.3
SMCR8	0.8	0.6	0.8	0.7	0.9	1.2
POMZP3	2.1	1.6	4.5	1.3	1.4	2.1
MCTP2	0	0	0.2	0.1	0.1	0.2
PLCB4	5	5.9	3	1.2	1.7	2.3
KCND1	0.5	0.6	0.9	0.7	0.6	0.3
POLR2G	202.3	210.4	215	253.7	308.5	263.6
DPCD	42	44.3	28.2	34.8	39.7	33.1
MITD1	22.9	24.5	33.1	40.9	32.5	38.7
SNCG	3.3	1.5	1.9	1	2.2	0.8
SMARCD2	29.9	22.3	34.2	25.8	26.9	26.1
PRPF40B	1.2	1.6	1.4	1.3	1.4	1
FBXO10	1.3	1.4	0.8	1.3	1.2	1.9
SPESP1	8.3	8.3	2.5	3.7	1.3	0.8
UCP3	0.3	0.1	0	0.1	0.4	0
TIMELESS	19.3	18.2	13.7	12.8	12.3	9.5
DNAJB9	7.9	8.3	10.9	22.6	35.2	37.8
DCTN5	49.9	45.6	38.2	32.8	34.3	29
LSM6	97.6	96.8	106.2	101.5	110.1	85.9
ZCCHC6	5.5	5.5	3.7	6.7	7.5	6.5
ATF7IP	19.9	21.4	14.2	17	14.2	11.8
ASH1L-AS1	2.9	3	1.6	2.1	2.4	1.6
VPS37A	14.6	15.3	12.5	22.6	23.3	22.7
CCDC79	0.5	1	0.1	0	0.1	0.2
ANKRD13D	5.3	3.7	6	7.3	6	4.4
CPEB2	0.9	0.7	1.2	1.3	1.1	0.5
NXT2	6.7	5.8	10.8	7.8	7.4	4.6
RRP7B	17.7	11.9	10	11.8	11.2	9.7
FLII	27	21.6	20.8	17.6	22.4	18.2
MRGBP	6	6.7	8.6	8	6.6	10.7
MINA	2.6	1.5	3.4	4.3	3.2	2.7
ZNF674-AS1	2.3	2.3	1.7	2.3	2	2.7
PNPLA8	11.3	15	9.8	17.3	13.6	13.7
NOTUM	0	0	0.1	1.5	1.4	1.4
GGT5	0.2	0.2	0.7	0.7	2.3	0.9
SPATA6L	0.3	0	0	0.1	0.2	0.4
ZP3	2.6	2.3	1.3	0.4	0.7	0.2
AHSA1	251.2	259.5	276.1	360	366.9	322.4
DECR2	50.8	44	40.7	45.3	35.3	27.9
PICALM	13.8	10	15.3	20.8	21.4	25
MED13L	12	10.8	8.7	10.1	6.6	11.2
SMIM18	0	0.1	1	0.4	0.1	0.5
CNTROB	4.5	3.7	3.5	3.6	3.4	4.8
PDXK	16.6	12.5	20.6	17.1	8.2	9.7
MAGI2-AS3	0	0	0	0	0	0
HMGN3	33.7	36	48.7	55.6	69	98.8
