gene	TE_E5	TE_E6	TE_E7
ZFP69B	1.5	1.7	1.3
SNHG1	176.3	200	208.6
SMOC2	0.1	0.4	0.3
BTAF1	6.5	7.7	7.7
ZNF667	1.1	1.5	1.6
RNF6	12.3	14.5	13.8
ARHGEF37	0.1	0.1	0.7
SOX30	0.2	0.1	0
ZFP36	1.9	3.8	7.6
GLCE	0.6	0.7	0.9
GTF3C6	95.9	113.7	140.3
LRRC69	1.9	1.9	1.2
POMGNT1	14.8	15.7	16.9
KLHL22	2.1	2.6	2.5
MCM2	56.7	59.7	61.4
MIR663A	9.2	31.4	10.2
RHOBTB3	2.4	2	1.3
SENP5	17.5	17.6	16
KLF16	12.6	9.4	7.5
SYT17	1	0.4	1.3
CPVL	60.3	75.8	45.3
RPS11	1456.8	1678.7	1916.8
CAPN7	4.1	4.9	5
GAS2L1	6.7	4.8	3.2
LOC388553	3	1.8	1.1
COG6	4.3	4.3	4.5
ZSCAN26	1.3	0.6	0.3
INO80C	32.4	26.4	29.3
ASNSD1	41.2	47.5	54.1
MTX2	63.7	64.3	54.3
MEIS1	2	2.8	2.5
SNORD77	8	8.2	8.5
UBE2S	8.2	7.2	6.4
NSMCE1	26.6	23.1	25.1
POC1B	5.8	7.1	6.3
ZFC3H1	5.1	7.8	8.5
YAF2	6.2	4.2	5.2
PYCR2	14.5	25.1	23.5
SMTN	5.3	7.3	10.1
MAPKAPK5	19.3	17.5	14.7
PTPLAD1	71	93.5	115.1
RAD1	16	16.6	16
DCAF4L2	2.3	2.5	4
CYB561D1	2	1.5	1.4
C10orf2	17.1	22.4	18.1
MED9	15.2	13.6	13
LOC101927599	5	5.8	5.7
DHDH	1.3	0.7	1.4
NAP1L1	45.1	70.2	70.1
YEATS2	4.1	6.6	5.2
PTPRK	1.3	2.2	1.8
PRR14	5.8	7.9	12
IRF6	1.5	2.7	5.5
YBX1	74.2	72.1	65.5
LOC100505978	0.2	0.2	0.1
JADE1	12.7	19.3	21.5
NAA30	4.9	6.1	4.7
CCDC134	6.3	7.7	4.7
CSNK2A2	18.3	11.1	13.1
CERS1.uid_22888	1.4	0.3	0.5
NAPEPLD	0.7	0.9	0.8
C3orf35	0.5	0.4	0.6
ZSCAN18	0.7	0.7	0.8
SURF2	187.3	167.2	167.5
SLC12A7	9.7	2.6	1.4
TAF2	9.1	11.8	11.5
TOR2A	20.7	10	6.7
ZMYND12	0.4	0.5	0.2
TRMT1	38.8	39.4	44.6
SEC16A	5.9	6.8	6.8
BBS12	0.5	0.8	1.1
ZNF43	6.4	7.6	6.5
MED8	40	35.8	44.8
CHFR	15.4	12.4	10.5
LOC100289333	0.4	0.8	0.8
RFTN1	0.3	0.3	0.3
PI4KAP1	7.9	7.2	5.7
MKRN2OS	0.2	0.3	0.2
BAIAP2L2	9.2	0.7	0.3
UBXN11	20.4	7.9	9.9
HINT2	17.3	22.6	16
TAF5L	5.6	6.9	4.1
LINC00518	0.7	0.1	0.2
STARD7	78.6	94.2	83.5
TRAPPC2P1	22.2	24.6	29.8
TMEM107	1.8	3.3	4.3
CNST	5.4	7.2	10.3
PLOD3	11.4	13.4	15.3
NUSAP1	123.6	78.1	107.1
NKX3-1	4.4	1.3	1.5
ZNF789	12.8	12.9	12.2
MNS1	1.9	1.7	0.5
WHAMM	2.3	2.1	1.9
NPTX1	7.1	1.5	0.9
KIF17	3.3	1.9	0.6
TSSK3	0.1	0.1	0.4
RCCD1	4.8	5.4	4.8
ZMYND19	19	18.3	15.8
REEP5	71.8	89.5	79
SHOC2	8.2	10.6	11.4
PDSS2	5.9	6.3	6.6
LSM14A	41.2	47.5	47.6
FBXO25	15.6	10.5	10.6
CAD	13.5	19.1	15.7
FOXK2	18.2	14.1	11.9
PA2G4	183.6	219.1	233.3
PEX14	6.2	7.2	7.5
RAPH1	3.1	2.9	2.8
GUCA2A	0.1	0.4	1.1
MYCNOS	7.5	2.1	1.8
JAGN1	78	91.2	89.1
ZHX2	0.3	0.1	0.3
KLF3	10.4	5.9	4.3
ZBTB49	2.8	1.5	1.5
WDR38	0.2	0.1	0.1
ELF2	8.1	9.1	7.4
KBTBD7	1.8	4	3.6
TNFRSF1B	0	0.2	2.3
EBAG9	17.7	16.2	14.3
CDC23	13.8	21.7	26.7
SRP19	65.3	102.2	124.1
XRCC3	4.9	5.3	6.4
BRWD1	8.5	6.4	6.6
IPPK	9.9	10.6	14.8
CIRH1A	91.4	100.5	104.1
EPC1	10.9	8.5	8.9
ATP5G3	606.3	736.6	578.9
TIMM23	150.1	133.5	140.3
HS3ST5	0.3	0.2	0
SLC35B1	83.3	70.4	70.2
ZNF574	25	17.9	14
ZNF835	0.8	1	0.9
ILF2	354.4	411.9	422.4
YLPM1	8.2	8.6	7.9
NIT1	17.9	15	21.3
KCTD18	0.8	0.5	0.7
LRRC8D	6.5	9.8	10.9
WIPF2	9.2	7.7	7.8
MTMR8	0.8	0.4	0.3
GSDMB	2.6	3.1	3
VIMP	98.6	82.4	98.9
NEDD4L	2.4	1	2.6
NAP1L4	95.6	101.6	96.9
DGCR9	0.1	0.4	0.2
NOTUM	0	0.3	1.2
PSMB6	821.9	697	856.5
DPEP1	1.3	0.4	0.2
LOC101928674	1.1	0.8	1.1
TFAP4	0.9	0.8	0.6
TMEM150C	2.8	1.4	1
ARRDC1	14.1	18.2	20.6
SEC31B	0.3	0.6	0.9
SEC11C	78.6	78.2	80.3
LOC90784	3.3	4.4	4.3
LOC100996437	0.7	0.9	0.8
ARL14EP	13.8	9.9	6.8
DEFA6	0.1	0.2	0.7
MAP3K15	0.2	0.3	0.1
TPBG	3.2	8.1	8.1
ITPK1	19.3	12.1	11.7
NUP205	10.9	13.1	12.3
ATP11AUN	1	0.6	0.2
BCL2L13	10.7	8.5	11.2
MARCH1	0.3	0.8	0.5
AATF	85.3	68.7	73.7
NDUFS4	104.5	127.3	108.5
ZNF609	2.3	3.3	3
SORD	0.3	0.4	1.3
BBS9	3.3	2.3	4.5
ZNF121	5.8	7.1	5
KCNIP2-AS1	0.3	0.8	0.7
GORAB	2.8	3	3.2
MRPL20	595.1	505.7	508.4
C3orf62	1.2	1.3	1.3
POLR2D	65.7	72.9	66.8
LOXL2	1.3	0.3	1.6
STX8	33.1	29.8	34.4
DCLRE1A	3.4	3.7	2.2
DNMBP	3.7	2.6	1.5
PCNT	7.6	8.2	7.3
MFAP2	3.9	2.7	5.6
CD83	2.1	0.7	0.4
VTRNA1-2	15.2	5.8	9.1
ZNF484	0.7	1.1	0.9
ATP1A1-AS1	24.6	11.5	8.8
BCAR1	11.8	12.7	13.3
LYSMD3	5.7	6.8	5.9
ZNF331	10.3	12.6	21.8
RPL3	911.3	898.1	861.5
ANKLE2	10.6	11.5	10.4
CPLX1	0.2	0.1	0.1
TSPYL4	1.2	3.6	4.7
GPALPP1	3.6	7	7.2
NTHL1	50.2	58.2	54.1
TNIP1	5.5	4.4	4
AAR2	31.3	34.7	33.9
KDSR	8.5	10.4	11.5
SLAIN1	0.2	0.4	0.4
ZNF192P1	0.1	0.1	0.2
PIDD1	5.3	7.9	7.4
TTF2	9.6	9.7	7.6
TIA1	11.7	15.4	16.5
PPAPDC3	0.3	0.4	0.6
SETD1B	4.2	5.4	3.8
PCYOX1L	0	0.6	0.6
HARS	147.1	120	111.1
ZNF461	1.7	2.1	2.3
SH3BP5	2.6	5.7	13.3
TTC12	2.5	1.1	1.1
LRRC28	8	9.4	8.8
PLEKHM1	0.5	0.8	0.8
MYNN	7.2	6.8	5.1
ZP1	0.7	0.2	0
YTHDC2	3.6	4.1	3.6
BMP4	3.3	6.4	6.2
GPR89A	3.1	4.2	4.6
INTS2	3.5	4.2	4.3
HIST1H3G	10.3	7.1	14.5
DIABLO	121.3	100.1	101.5
SRFBP1	12.6	15.4	13.9
SNAP23	74.6	70.4	66.8
TAC4	0.2	3.4	2.5
NME2.uid_22044	85.4	59.7	48.8
C5orf45	5.9	3.6	3.4
ZFYVE21	108.5	96	76.7
DSCR8	57.4	46.8	32.3
LOC101927497	0.6	2.1	1.2
ECSIT	72.7	67.8	69.1
TBC1D19	0.3	0.5	0.4
NFATC1	0.4	0.4	0.3
ZNF720	0.8	1.3	1.5
ZNF714	5.1	7.7	8.6
DOCK7	2.5	2.9	3.4
POLG2	11.1	12.5	12.6
FAM50A	115.9	87.7	97.8
TOMM40	103.1	80.5	57.8
DARS	76.1	86.2	69.1
RPS6KB2	48.8	46.2	41.1
CUL1	27.1	29.2	31.9
YDJC	62.5	83.7	87.7
VWA9	21.4	31.8	41.5
RHOG	74.8	70.4	73.9
PANX1	3.9	4.9	6.2
MRPL40	214.3	161.6	115.1
MGMT	9.9	5.9	5
INO80E	10.2	11.9	11.7
CCND2	0.3	0	0.1
NEK2	25.6	13.4	15.4
CRK	29.4	34	33.1
NFYA	5.4	4.9	4.7
GPR18	1.5	1.5	1.3
INPP4A	2.1	1.4	1.9
TDO2	0.1	1.1	0.9
TOP2B	10	9.8	10.4
PFN2	42.8	49.9	69.9
LPXN	0.5	0.7	0.8
LSM4	216.7	161.2	180.6
TP73-AS1	1.9	1.5	1.5
TMX1	39.1	51.8	45.7
TMEM140	2.2	2.4	2.9
RSAD1	13.4	7.4	4.7
NIPSNAP1	10.9	9.5	6.5
HCFC1	17.9	21.1	16.8
PTPN23	3.6	3.3	3.3
CLDN15	1.8	3.3	3.6
MITF	2.3	3.6	3.4
DBF4B	4.8	7.1	7.2
PINK1-AS	2	1	1.1
NELL2	1.4	0.3	0.2
POLDIP3	52.1	49.2	48.7
SNRPD3	97	112.2	117.8
SNORD30	10.4	10.4	9.5
FNBP1	7.4	4.6	4.4
SLC39A1	142.1	165.2	193.5
FSIP1	0.1	0.1	0.2
CLDN20	0.2	0.2	0.1
AMIGO2	0	0.1	0
NDUFAF1	33.4	29.9	25.5
HPX	1.8	0.7	0.2
ACTR2	15.5	19.1	17.5
MAPKAPK3	2.4	4.1	6.3
MESDC2	73.4	59.6	43.2
HECTD4	1.1	1.4	1.3
CCT6P1	1.4	2	2.1
RNF141	8.2	3.9	2.4
TUBD1	10.5	15	16.3
CCDC81	0.2	0.5	0.4
C12orf73	9.1	14.3	15.1
MAN2C1	4.1	4.6	3.2
SNORA10	18.6	19.9	17.3
DYRK2	1.9	2.8	2.7
SYT16	0.1	0	0.1
PDCD5	260.9	243.5	231.8
LOC644656	3	2.7	4.8
PAX8	0.4	0.2	0.2
ZNF146	38.7	64.1	59
LSM6	91.1	102.6	76.2
PPFIA1	16.4	16	19.9
YAE1D1	16.2	34.8	43.3
MLYCD	2.5	1.5	1.6
ATXN7L2	2.4	3.9	5.1
EME2	0.2	0.4	0.5
BCL2L11	6.4	7.9	8.7
MRPL2	186.1	139	107.8
ARHGAP5	6.5	6.9	6.1
ANKRD13C	7.9	11.3	12
TRIM7	0.2	0.2	0.1
CTR9	20	19	17.9
SNORA75	4.2	2.9	3.9
KALRN	1.7	2.5	4.7
PPP1R16A	9.8	9.7	9.3
PATE2	0.5	0.2	0.2
PSMA3	314.1	466.8	484.4
DTD2	2.8	1.6	1
AP2A1	23.3	21.1	18.1
RNF138	19.9	23.9	18.8
GNG12	1.4	3	7.3
ALOXE3	0.5	0	0.2
C9orf24	0	0.2	0.2
VRK3	33	21.7	26.5
CAND2	0.2	0.3	0.3
GCSH	10.3	10.6	8.9
CTU1	0.7	0.8	0.5
GSK3A	9.9	9.8	10.8
AFMID	12.2	21.7	20
PDE2A	1	0.4	0.2
COX20	31.9	23.5	26.5
SCOC	20.4	19.3	16.4
ATF7IP	11.5	14.6	13.6
ZC3H8	8.6	18.9	18.6
TMEM27	1.7	1.3	1.1
EMC1	12.3	15.2	14.7
ZNF560	1.7	3.5	4.3
MCOLN2	0.2	0.2	0.3
SNORA19	3.9	5.7	7.8
VCPIP1	2.8	4	3.2
ALDH1A1	2.2	17.1	1.3
EEF2K	2.2	3.7	2.7
EDEM1	4.9	4.5	5.2
LRSAM1	2.8	4.9	4.7
HAUS1	44.1	63.4	70.8
PPP1R8	13.2	23.4	13.1
CIB2	8.6	3.7	2.1
HSPH1	18.7	27.7	30.8
SLC35B4	13.6	16.4	9.3
SPEN	7.5	9.2	7.4
STK32B	0.5	0	0
ZIM2	1	0.2	0.2
ZNF76	11.3	10.1	13.8
C16orf46	2.2	2.6	3.5
STARD5	2.4	1.9	2.6
MOB4.uid_3968	54	44.7	62
MOV10	9.5	12.1	13.3
SP1	11.2	11.7	10.6
FGFR3	24.4	13.7	6.6
NISCH	7.2	8.4	9.4
RPL22L1	62.2	68.5	45.8
RP9	15.9	11.8	10.3
LINC01023	3.9	2	2.3
ZBED9	0.9	0.8	0.5
RALA	32.8	34.8	41.4
MAGEH1	0.5	0.7	0.7
CANT1	6.5	8.6	9.3
VPS18	11.3	14.5	14.2
CREBZF	4.9	7.2	7.5
LOC101805491	0.5	2.1	3.9
UQCRQ	356.6	445.4	372.7
NCL	709.6	849.3	782.4
PHF20	5	5.8	6.6
ZNF543	2.3	1.6	1.1
HDC	0.2	0	0.2
PUS10	1.1	0.8	1.1
CRELD2	21.3	17.8	25.4
F8	0.3	0.3	0.1
NUTM2A-AS1	13.6	13	12.6
A2ML1	0.2	0.4	1.2
TP53I11	0	0	0
SLC2A4RG	1.6	1.7	1.4
SNAP25	0.1	0.1	0.4
SRCAP	10.3	16.5	14
OXA1L	126.1	139.2	104
NPM1	405.1	462.7	486.2
ORC4	10.4	14.4	15.8
MRPL36	206.4	227.4	219.7
STX5	8.7	6.7	8.2
PLK4	6.9	9.5	10
SNX13	3	4.1	5.7
PIN1	94.9	69.6	70.5
NCSTN	27.3	28.4	28.7
LIN37	26.4	18.4	23.9
MPZL2	0.1	0.2	0.1
NPTN	32.7	63.7	47.3
PNN	60	93.9	77.7
ST8SIA6-AS1	9.7	13.2	16.4
SSBP3-AS1	2.5	2.2	1.8
ZNF736	0.6	0.6	0.6
MARCH5	9.1	9	11.7
USP53	4.1	6.2	6.3
PTDSS1	40.8	49	59.6
HIST3H2BB	1	0.5	0.9
COASY	69	73.6	76.5
EXT2	19.1	15	14.6
NDUFB11	300.6	258.9	257.4
LCMT2	4.6	5.3	5.7
MBLAC1	1.6	0.4	0.6
TMEM243	1.3	6.2	12.3
TMEM59	81.2	89.6	97.3
LOC100130700	0.1	0	0.2
DEK	75.1	75.9	82.2
HIATL1	16.2	17	11.7
CDK17	1.4	2.6	3.3
ITFG2	9	6.2	6.4
MRPL44	72.1	91.7	88.8
ENTPD8	0.5	0.8	0.9
PIGT	36.7	47.9	43.2
MPPE1	4	4.9	3.5
GGA2	21	15.2	10.7
SGK494	3.6	3.6	3.6
PGP	23.2	22.7	19.7
SENP3	0.6	1.6	1.4
TXNL4A	55.4	71.2	64.7
ZBTB39	1.7	1.2	1
ZBED6	2.1	4.1	4.1
LOC101927275	0.4	0.6	0.9
TTC7A	4.8	4.2	3.6
ASAP1-IT1	1.1	1.6	1.7
GTF2H4	7.1	8.1	6.5
SNORD81	57.3	74.8	56
CPA2	0.2	0.4	0.2
USP27X	0.4	0.3	1.2
TOM1	13.4	15.3	23.9
MIR4668	25	10.7	4
HELB	1.5	1.7	2.3
PSMD8	257.7	242.6	280.6
SMS	17.4	23.9	23.3
CETN1	0.9	0.1	0.2
CETN4P	0.3	0	0.1
ZBTB10	4.2	5.9	6.5
CEP55	5.1	7.2	9.2
MPHOSPH8	17.9	16.9	18.5
SMIM15	19.8	32.2	31.5
LINC01355	0.7	2.1	1.1
TMEM127	9	6.7	5.3
RMDN1	21.9	17.9	12
HS2ST1	1.9	3.1	2.5
INTS6	3.6	3.6	2.6
KIAA0556	1	1.1	1.5
UBQLNL	0	0.1	0.2
NUP37	40.4	38.1	34.1
RPL14	266.9	350.6	414.9
PLEKHB2	168.2	131	112.9
STAG3L5P-PVRIG2P-PILRB	2.9	3.7	4.2
PALM	0.2	0.1	0
CYB561A3	4.7	8.3	11.6
RPS19	1933.9	2059.3	2611.9
HIST2H2AB	0.7	0.8	0.6
UBL4A	41.3	54.6	45.4
PDZD8	2.4	3.2	2.1
ZNF433	1.9	2.6	3.1
CD33	0.2	0	0
NUP98	24.3	24.3	21.1
LOC101927045	0.6	0.6	0.8
ABCC6P1	0.5	0	0.3
ACSBG1	0.5	0.3	0.8
CCDC126	7.6	9.2	10.5
TPGS1	0.5	1.1	0.5
GPATCH2	16.8	10.6	9.9
PSMG4	41.5	33.8	28.7
ANXA2	589.6	547.1	512.8
ZNF625-ZNF20	43.9	42.5	26.8
CCNC	96.8	114.8	121.3
MAP3K14	1.1	0.6	0.8
ADCK4	4.4	5.4	5.5
TDRD9	0.1	0.2	0.1
ZNF821	1.6	1.5	2.6
ADPGK	45.9	48	44.5
SLC40A1	7.3	9.8	47.9
CTBS	0.6	0.9	0.6
NOG	0.8	0.5	0.5
IREB2	9.9	16.1	11.8
BIRC2	9.3	13.7	15.3
LMBR1	4.2	4.9	4.1
EIF1	487.3	644	757.5
MIR373	20.6	16.1	11.9
LOC101927021	0.4	0.2	0.2
ZNF32	4.7	6.7	6.8
SLC35G1	3.2	6.4	6
YTHDF3	19.8	25.5	20.9
SGSM3	6.6	9.9	12.4
ASIC3	1.2	0.5	1.6
WASF1	4.3	8.1	9.9
SGOL1	17.3	16.5	20
SMIM14	2.9	2.7	4.3
PDK2	0.8	0.3	0.1
SMAD2	5.8	6.7	5.9
VMAC	0.7	0.5	0.5
ATN1	5.8	10	9.6
CDK7	44.6	74.8	84.5
PCBP1-AS1	0.8	0.7	0.6
RBPMS	24	25.6	28.7
RBM19	15	14.3	16.5
CRIM1	3.7	5.8	7.3
SERINC2	0.6	1.5	4.9
ZBTB37	1.3	0.8	1.2
DDX47	76.2	78.3	78.8
LOC100507634	0.4	0.2	0.5
PRKAG1	41.2	51	44.8
SRSF7	225.9	272.9	246.3
PPP1R11	43.5	43.5	52
PRPS1L1	6.1	3.8	1.8
OR52D1	0.5	0.9	0.2
PIK3R4	8	8.1	6
ILVBL	14.9	23.9	21.7
NUDT2	23.6	26.5	33.8
DNMT3A	64	40.3	24.3
NCK1	6.9	10.5	9.5
DENND6B	0.1	0.5	0.1
FAM133B	0.5	0.8	0.6
PDXDC1	19	25.2	24.4
DNAJC2	73.9	87.9	97.7
APTX	72	54.6	58.4
TSEN2	11.3	13	10.1
GOSR1	16.4	16.4	13.5
CCNT2	6.6	7.1	9.5
LOC101928896	0.5	0.3	0.3
HPD	0.2	1.1	6.6
LOC284581	0.3	0.1	0.3
MRPS34	342.8	314.7	336
CLPB	25.1	23	21.4
MGAT1	33.7	44.7	80.7
DNASE1	1.1	1.2	1.4
TRMT12	7.6	7.3	9.7
DAP3	78.7	86.6	105.1
LINC00641	2.7	4.3	3.4
DNAJB2	6.1	5.5	5.3
SNORD58C	7.6	14	12.6
B3GALTL	1.6	1.1	0.8
LOC102723510	1	0.9	2
TSPYL5	1	1.3	1.3
SHPRH	4	4.2	4.2
CA14	0.1	0.2	0.2
ANAPC7	24.4	35.7	35.2
DLD	44.2	55.1	52
CEP72	6.1	6.3	7
SDS	0	0	0
COQ4	72.1	39.1	35.2
IMPACT	9.3	9.6	6
GYG1	28.2	27.6	27.4
CFDP1	48.6	55.9	69.1
WDR41	13.3	9.8	9.6
NFAT5	1.7	2.4	2.6
MRPL53	169.5	106.7	109.5
DCAF13P3	2.6	3.6	4.2
FAM222A	1.7	2.6	2.3
METTL15	2.5	2	1.4
RAB39A	1.4	2.7	3.9
PCDHB3	0.1	0.1	0.2
HDDC3	60.8	44.4	16.7
UQCRC1	519.3	504.6	431.6
SMAP1	43.5	31.9	32.2
MICU1	13.8	8.7	9.3
MBTPS1	8.5	13.9	13.4
B4GALNT2	0.8	0.2	0.1
EXOSC7	120.2	113.4	112.8
CDC16	21	23.9	14.5
HKDC1	0.9	0	0.2
AADACL2-AS1	1.5	1.4	2.3
ZNF700	3.4	3.7	3.3
MRPL3	144.5	181.4	160.6
CCDC124	300.9	178.2	186
CCDC71	0.7	2.5	0.6
TCEAL1	2	1.6	0.8
PEA15	16.8	18	24.8
NOP58	203.6	259.1	222.2
LOC728819	0.9	0.2	0
PAIP2	108.6	127.5	171.1
ADIPOR2	15.8	19.8	17.4
OGT	24.3	30.3	17.7
ATP5L	361.9	393.7	339.2
DHRS12	3.2	1.7	1.4
DBF4	12.6	15.5	14.8
EEF1E1.uid_8163	64.6	139.6	138.9
WDR16	0.2	0.2	0
TGM4	0.1	0.1	0
DNAJC27	1	1.3	1
C11orf71	9	6.9	9.2
MPP5	5.4	7.5	6.3
CBS	14.4	47.8	46
CA11	0.4	0.2	0.2
NAT10	29.1	28.9	29.1
MTHFD2	64.4	159.9	134.5
PDCD6IP	22.1	24.6	23.2
RPS26	34.4	64.1	85.5
FSD1L	0.3	1	0.5
DCAKD	11.2	19.4	16.8
CTBP1	39.7	27.8	18.8
PSMF1	41.6	34.9	34.5
PFDN1	97	108.4	132.3
FGGY	1.9	0.7	0.8
ZBTB34	1.5	2.4	2.5
SNORD25	12	10.9	9.8
ZDHHC18	11	10.3	10.1
JUN	0.9	1.1	2.2
SLC27A5	1.5	2.5	2.6
GDI1	8.7	9.3	11.7
HLA-DRB5	0.1	0.3	0.6
MRPL27	422.6	322.7	376.3
CD6	0.2	0	0
CHRNE	0.7	0.8	0.6
TMEM9B-AS1	0.9	0.7	0.7
ALOX15	1	0.1	0.1
METTL25	2	4.4	4.1
TANGO6	2.5	2.5	2.1
ZNF577	5.7	3.1	3.9
TRPV2	1.3	2.8	17.2
DUSP22	2.8	2.4	1.9
LPCAT2	0.5	0.4	0.7
HCFC1R1	44	52.7	50.9
FKBP1B	5	4.9	6.2
KIF24	1.1	1.3	1.2
AKAP8L	5.4	5.2	4.4
LOC101928537	0.6	0.1	0
MTFR2	25.7	21.6	22.6
ZNF667-AS1	8.5	5.5	9.8
ZNF512	3.1	4.3	3.9
LATS1	3.4	3.7	3.9
AGAP1	2.4	2	2.7
ARHGEF33	0.4	0.1	0.1
LBR	34	36.2	33.4
ESYT2	9.7	9.3	9.1
RPS6	1971.4	2094	2271.1
PXMP2	11.2	8.8	9.2
MTF1	3.8	5.3	5.6
LOC100506804	0.4	0.5	0.3
C6orf57	5.4	3.5	2.2
ZNF639	11.2	10.6	7.5
HPCAL1	14.4	14.9	13.4
ABCB6	21.7	33.5	36.4
NME4	10.6	17.7	22.8
SH3BP5L	2.5	3.2	2.7
FAU	2091.9	2036.9	2110.9
VPS37C	12.4	12.2	11.2
KIF18A	5.1	6.3	7.4
MZT2B	47.1	51.4	58.7
ASIC1	0.1	0.3	0.3
S100A1	0.4	0.7	0.3
KLHDC10	1.3	2.5	2.1
MGC16142	0.3	0.3	0.5
MED20	21.8	17	16.2
ACP6	3	4.3	7.8
CS	79.9	76.3	52.2
ITCH	9.8	8.5	8.7
HMGB2	241.3	227	273.6
CCDC109B	33.1	30	30.6
UAP1L1	20.4	8.6	2.8
CYR61	3.3	5.4	13
CCDC25	6.2	6.6	6.1
ISM2	0.7	1.2	1.9
AFF4	7	11.8	11.5
SEC24C	15.1	16.9	20.7
SCARNA18	0.5	1.6	2.4
ADCY5	0.5	0.4	0.6
TP53BP1	2.6	3.1	3.8
RRP36	51.2	47.5	47.3
CISD1	52.9	67.6	63.4
SFI1	2	1	1
FAM192A	33.9	23.5	22.8
IER5L	0.2	0.5	0.5
PDDC1	3.8	5.7	6
RNF2	19	23.2	21.8
TEKT2	0.2	1	0.4
C7orf73	28.3	28.4	32.2
NDE1	3	2.8	4
SPNS2	0.1	0.4	0.3
REXO1	4	5.4	5.2
MGC57346	3	2.8	2.5
CRISPLD1	0.1	0.2	0.2
RHOT1	4.5	4.3	3.7
COQ9	34.4	24.6	19.5
USP14	36	53.8	57.4
SNORD38A	11.8	19.3	10.9
B4GALNT3	1.3	1.7	1.2
ZNF607	2.8	2.6	2.5
LOC101927129	0.8	0.3	0
IL12A	0.1	0.2	0.3
HBEGF	0.3	1	2.7
ALDH7A1	6.5	7.3	9.6
ATG101	83.3	68.9	77.6
LOC100506700	0.3	0.8	1.3
GBF1	7.8	7.1	7.2
C12orf43	20.4	19.5	20.4
FTCD	0.1	0	0
DDIAS	6.5	8.6	12.1
SEPT1	1.6	1.3	0.6
TSN	33.9	43.1	38.7
RPL9	72.4	103.9	88.2
KARS	191.7	223.8	232
SLC13A3	0.1	0.2	0.5
MICALL2	1.2	1.1	1.7
UTP11L	66.2	65.7	73.6
GNA12	3.2	15.5	40.3
TTK	19.5	22.8	23.5
KCNQ4	1.3	2.1	1.3
MIR22HG	18.1	16.9	26.6
HPSE2	0.1	0	0
ATAD3A	29.9	23.6	17.4
SNORD78	13.8	14.2	10.6
PRDM4	3.6	4.7	5
ICE2	5.7	5	4.6
THAP9	3.9	3.8	3.2
SNAPC1	4.7	6.7	8
CLEC1A	0.3	0.9	10.8
SIPA1L3	1.6	2.3	1.9
GALNT14	0.5	1.5	1.3
PLD3	18.6	25.6	50.5
MED29	20.7	18.4	19.2
NDN	2.2	5.5	7.2
FAM86DP	0.6	0.4	0.7
CCDC157	1.8	0.9	1.1
LINC01186	1.2	0.1	0
KIAA0391	26.4	21.8	20.6
USP54	1.7	2.3	2.4
MIEN1	152.7	128.7	115.6
YIPF5	16.9	18.6	21.2
USP45	1.3	2.1	1.7
HSD17B8	2.5	2.6	2.2
LOC391322	1.8	1.7	1.6
RIPK2	12.8	15.4	18.3
PPP1R12C	3.8	3.2	2.8
PPP2R2D	7.4	5.9	4.8
DDX20	17.5	18.4	17.2
UFD1L	69.6	73.8	110.5
ELK1	4.9	5	7.2
GTF2H5	15.5	12.9	10.4
DLAT	48.3	54.4	45
HAS3	0.8	1.3	2.6
MCM10	36	29.8	25.2
RTCB	138.2	120.2	115.7
ACVR1	8.8	7.8	5.6
PLCE1	4.7	2.1	1.2
LTBP3	1.3	3	2.9
TIMM44	126.1	114.4	93
NT5M	0.8	0.1	0
FAM195A	100.1	64.5	34.8
MAU2	7.2	8.8	9.3
DOK2	0.6	1.4	0.7
TRIM6	13.5	18.3	15.5
FBXO5	29.2	35.5	30.5
CCDC3	0.5	0.1	0
GATS	1.7	1.2	1.6
CNBP	251	255.1	247.8
SMYD5	17.3	21.3	23.7
ZNF876P	3.4	5.4	4.5
UNC13B	5.1	4.7	3.1
TAF6L	2.2	2.4	2.2
TGDS	18.2	21.2	14.6
UBR1	6	7.6	7.6
FBXO48	1.3	1.2	0.8
AOC2	2.5	3.4	4.8
PITPNB	45.2	56.5	73.7
ZFY	1.1	1.4	1.1
PPP3R1	3.6	6.2	3.3
OR52N4	0.3	0.8	0.8
LOC101927797	3.5	3.8	3.8
NAA50	65.1	76.7	75.2
LUC7L	52.3	63.9	62.1
MIR3648	2	6.4	2.4
ZNF708	0.9	2.2	2.6
CNTD1	0.7	0.9	0.7
ZNF212	8.9	6.8	6.4
NDUFA4	233.6	329.9	299.1
VASN	0.2	0.3	0.9
MAP3K7CL	1.1	0	0.1
ZNF285	1	0.6	0.6
TAOK1	5.8	6.9	6.3
GPR75	0.5	1.7	1.2
CREB3L3	0.7	0.3	0.2
RPS6KA5	6.8	5.1	5.4
C12orf10	40.3	51.2	56.6
GGCX	4.4	5.4	7.2
FBXW9	10.3	9	11.4
TBK1	14.2	24.5	26.6
AKAP14	0.1	0.1	0.1
DUSP27	1.9	0.8	0.4
HYLS1	28.4	22.6	14.6
CHMP1A	60.7	71.7	92.2
SMC3	44.1	48.5	48.2
RPS15AP10	3.3	2.3	2.2
M6PR	34.2	52.2	70.8
EMC3	135.7	115.8	114.7
PTPLB	3.9	6.9	7.3
GOLGA3	9.3	9.6	9
ERV3-1	1	1.7	2.7
FBXL12	40.4	27.8	25.9
ZNF385B	0.3	0.1	0.1
TCEB3-AS1	8.5	7.1	7.1
